品牌ID	品牌名称	车系ID	车系名称
1198	宝马	2680	宝马1系
1198	宝马	2681	宝马3系
1198	宝马	2682	宝马5系
1198	宝马	2684	宝马7系
1198	宝马	2686	宝马X3
1198	宝马	2687	宝马X5
1198	宝马	2688	宝马X6
1198	宝马	2689	宝马Z4
1198	宝马	5412	宝马6系
1198	宝马	5415	宝马X1
1198	宝马	16862	宝马8系
1198	宝马	16864	宝马Z3
1198	宝马	16865	宝马Z8
1198	宝马	22596	宝马i3
1198	宝马	22600	宝马X4
1198	宝马	22602	宝马4系
1198	宝马	104162	宝马2系
1198	宝马	105135	宝马M系
1198	宝马	105843	宝马i8
1198	宝马	161080	宝马2系多功能旅行车
1198	宝马	161081	宝马X6 M
1198	宝马	161171	宝马2系旅行车
1198	宝马	161172	宝马2系旅行车(进口)
1198	宝马	161173	宝马X5 M
1198	宝马	161314	宝马3系GT
1198	宝马	161315	宝马5系GT
1198	宝马	161499	宝马X1新能源
1197	奔驰	2642	奔驰CLK级
1197	奔驰	2643	奔驰CLS级
1197	奔驰	2644	奔驰CL级
1197	奔驰	2645	奔驰GL级
1197	奔驰	2647	凌特
1197	奔驰	2648	奔驰M级
1197	奔驰	2650	奔驰S级
1197	奔驰	2651	奔驰SL级
1197	奔驰	2652	奔驰SLK级
1197	奔驰	2653	奔驰C级
1197	奔驰	2654	奔驰E级
1197	奔驰	2655	奔驰B级
1197	奔驰	2661	奔驰A级
1197	奔驰	5395	奔驰G级
1197	奔驰	16883	奔驰MB100
1197	奔驰	16885	奔驰SLR级
1197	奔驰	16887	奔驰R级
1197	奔驰	22447	斯宾特
1197	奔驰	22449	奔驰CLA级
1197	奔驰	22584	奔驰GLA级
1197	奔驰	105087	奔驰A级AMG
1197	奔驰	105088	奔驰C级AMG
1197	奔驰	105091	奔驰CLS级AMG
1197	奔驰	105093	奔驰E级AMG
1197	奔驰	105094	奔驰G级AMG
1197	奔驰	105095	奔驰GL级AMG
1197	奔驰	105097	奔驰GLK级
1197	奔驰	105098	奔驰M级AMG
1197	奔驰	105099	奔驰S级AMG
1197	奔驰	105100	奔驰SL级AMG
1197	奔驰	105102	奔驰SLS级AMG
1197	奔驰	105103	唯雅诺
1197	奔驰	105104	威霆
1197	奔驰	105805	奔驰CL级AMG
1197	奔驰	105806	奔驰CLA级AMG
1197	奔驰	105807	奔驰GLK级AMG
1197	奔驰	105808	奔驰GLA级AMG
1197	奔驰	105809	迈巴赫S级
1197	奔驰	105811	奔驰R级AMG
1197	奔驰	105812	奔驰SLK级AMG
1197	奔驰	105819	乌尼莫克U5000 SUV
1197	奔驰	106619	奔驰AMG GT
1197	奔驰	160873	奔驰GLE级AMG
1197	奔驰	160874	奔驰GLE级
1197	奔驰	160891	奔驰GLC级
1197	奔驰	160904	奔驰GLS级AMG
1197	奔驰	160905	奔驰GLS级
1197	奔驰	160906	奔驰V级
1197	奔驰	160941	奔驰SLC级
1197	奔驰	161074	奔驰Sprinter
1197	奔驰	161482	劳伦士
1199	奥迪	29	奥迪200
1199	奥迪	2614	奥迪A5
1199	奥迪	2615	奥迪A6
1199	奥迪	2616	奥迪A8L
1199	奥迪	2617	奥迪Q7
1199	奥迪	2619	奥迪S5
1199	奥迪	2620	奥迪S8
1199	奥迪	2624	奥迪S4
1199	奥迪	2625	奥迪A3
1199	奥迪	2626	奥迪A4
1199	奥迪	2627	奥迪A6L
1199	奥迪	2628	奥迪A4L
1199	奥迪	2630	奥迪100
1199	奥迪	5381	奥迪Q5
1199	奥迪	5384	奥迪A7
1199	奥迪	16846	奥迪A2
1199	奥迪	16848	奥迪RS5
1199	奥迪	16849	奥迪RS6
1199	奥迪	16850	奥迪S3
1199	奥迪	16851	奥迪S6
1199	奥迪	16852	奥迪S7
1199	奥迪	18381	奥迪TT
1199	奥迪	22617	奥迪SQ5
1199	奥迪	22618	奥迪A1
1199	奥迪	22619	奥迪RS7
1199	奥迪	22623	奥迪Q3
1199	奥迪	104159	奥迪RS4
1199	奥迪	104160	奥迪RS3
1199	奥迪	106440	奥迪R8
1199	奥迪	106457	奥迪80
1199	奥迪	160933	奥迪A8
1199	奥迪	161313	奥迪TTS
1207	大众	8	捷达
1207	大众	14	桑塔纳
1207	大众	2810	大众CC
1207	大众	2811	大众Eos
1207	大众	2813	辉腾
1207	大众	2814	甲壳虫
1207	大众	2815	迈腾
1207	大众	2817	帕萨特
1207	大众	2818	途欢
1207	大众	2819	途锐
1207	大众	2822	宝来
1207	大众	2825	朗逸
1207	大众	2832	高尔夫
1207	大众	2833	速腾
1207	大众	5470	尚酷
1207	大众	5473	途观
1207	大众	16974	大众Fox
1207	大众	16977	高尔
1207	大众	16984	途安
1207	大众	16985	夏朗
1207	大众	16989	大众POLO
1207	大众	22386	朗境
1207	大众	22387	朗行
1207	大众	22391	迈特威
1207	大众	22392	开迪
1207	大众	22558	凯路威
1207	大众	104175	凌渡
1207	大众	105060	大众R36
1207	大众	105767	卡罗瓦雷
1207	大众	105793	大众up!
1207	大众	161100	辉昂
1207	大众	161138	蔚揽(进口)
1207	大众	161240	蔚领
1207	大众	161310	途观L
1207	大众	161311	高尔夫·嘉旅
1207	大众	161348	桑塔纳经典
1207	大众	161349	桑塔纳志俊
1207	大众	161350	Passat领驭
1207	大众	161395	途昂
1205	福特	24	福特S-MAX
1205	福特	2874	蒙迪欧
1205	福特	2878	爱虎
1205	福特	2879	福特FLEX
1205	福特	2880	翼虎
1205	福特	5490	麦柯斯
1205	福特	5491	锐界
1205	福特	5492	福克斯
1205	福特	17056	福特C-MAX
1205	福特	17065	福特Fusion
1205	福特	17066	福特Ka
1205	福特	17067	金牛座
1205	福特	17069	雷鸟
1205	福特	17071	天霸
1205	福特	17072	野马
1205	福特	22325	福特GT
1205	福特	22326	探险者
1205	福特	22328	嘉年华
1205	福特	22332	翼搏
1205	福特	104183	福睿斯
1205	福特	105304	福特E Class
1205	福特	105305	猛禽
1205	福特	106114	烈马
1205	福特	106115	福特Crown Victoria
1205	福特	106116	外交官
1205	福特	106122	护卫者
1205	福特	106123	福特Everest
1205	福特	106124	征服者
1205	福特	106125	探索者皮卡
1205	福特	106126	探索者
1205	福特	106128	福特 Focu C-MAX
1205	福特	106133	自由之星
1205	福特	106134	福特Freestyle
1205	福特	106136	福特Galaxy
1205	福特	106146	福特Probe
